Number of transactions:122607
Min Support:0.04 Min Confidence:0.88
Frequent Itemsets:
1:  dairy eggs	support=0.5754
95:  ('bakery', 'produce', 'snacks', 'beverages')	support=0.0416
96:  ('produce', 'snacks', 'dairy eggs', 'canned goods')	support=0.0429
97:  ('bakery', 'beverages', 'snacks', 'dairy eggs')	support=0.0427
98:  ('pantry', 'snacks', 'dairy eggs', 'produce')	support=0.0564
99:  ('bakery', 'produce', 'snacks', 'frozen')	support=0.0401
100:  ('frozen', 'beverages', 'snacks', 'dairy eggs')	support=0.0551
101:  ('produce', 'frozen', 'dairy eggs', 'beverages')	support=0.0768
102:  ('deli', 'produce', 'frozen', 'dairy eggs')	support=0.0513
103:  ('produce', 'frozen', 'snacks', 'beverages')	support=0.0545
104:  ('deli', 'bakery', 'produce', 'dairy eggs')	support=0.0437
105:  ('bakery', 'produce', 'snacks', 'dairy eggs')	support=0.0655
106:  ('bakery', 'produce', 'dairy eggs', 'pantry')	support=0.0409
107:  ('frozen', 'produce', 'snacks', 'dairy eggs')	support=0.0821
108:  ('snacks', 'produce', 'frozen', 'dairy eggs')	support=0.0821
109:  ('beverages', 'dairy eggs', 'frozen', 'produce', 'snacks')	support=0.0466
110:  ('beverages', 'dairy eggs', 'snacks', 'produce', 'frozen')	support=0.0466
111:  ('beverages', 'snacks', 'dairy eggs', 'produce', 'frozen')	support=0.0466
There are 111 frequent itemsets
Confident Rules:
Rule1:	 ('dry goods pasta', 'snacks', 'dairy eggs')	-->('produce',)	 [sup=0.0414 conf=0.8813 lift=1.2953Rule2:	 ('frozen', 'dairy eggs', 'canned goods')	-->('produce',)	 [sup=0.0409 conf=0.8813 lift=1.2953Rule3:	 ('snacks', 'dairy eggs', 'canned goods')	-->('produce',)	 [sup=0.0429 conf=0.8842 lift=1.2996Rule4:	 ('deli', 'frozen', 'dairy eggs')	-->('produce',)	 [sup=0.0513 conf=0.8839 lift=1.2991Rule5:	 ('deli', 'bakery', 'dairy eggs')	-->('produce',)	 [sup=0.0437 conf=0.8878 lift=1.3048There are 5 confident rules
